,iteration,time,id,x,y,dx,dy
108,108,1.8,0,346.4872,242.24254,-0.4145813,0.14013672
109,109,1.8166666666666667,0,347.16165,242.13289,0.6744385,-0.10964966
110,110,1.8333333333333333,0,346.49765,242.12541,-0.66400146,-0.0074768066
111,111,1.85,0,346.98254,242.25777,0.4848938,0.13235474
112,112,1.8666666666666667,0,346.62943,242.13583,-0.3531189,-0.12193298
113,113,1.8833333333333333,0,346.77185,242.17703,0.14242554,0.04119873
114,114,1.9,0,346.8456,242.11888,0.07376099,-0.058151245
115,115,1.9166666666666667,0,346.5788,242.223,-0.2668152,0.10412598
116,116,1.9333333333333333,0,347.0951,242.06622,0.5162964,-0.15678406
117,117,1.95,0,346.5926,242.0761,-0.50250244,0.0098724365
118,118,1.9666666666666666,0,347.08267,242.18001,0.4900818,0.10391235
119,119,1.9833333333333334,0,346.593,242.05083,-0.48968506,-0.12918091
120,120,2.0,0,346.83307,242.27306,0.24008179,0.222229
121,121,2.0166666666666666,0,346.83505,242.07155,0.0019836426,-0.20150757
122,122,2.033333333333333,0,346.58826,242.23378,-0.24679565,0.16223145
123,123,2.05,0,347.1048,242.10707,0.5165405,-0.12670898
124,124,2.066666666666667,0,346.58765,242.14229,-0.5171509,0.035217285
125,125,2.0833333333333335,0,347.10272,242.15694,0.5150757,0.0146484375
126,126,2.1,0,346.5882,242.12875,-0.51452637,-0.028182983
127,127,2.1166666666666667,0,347.0438,242.26276,0.45559692,0.13400269
128,128,2.1333333333333333,0,346.7924,242.06735,-0.2514038,-0.19540405
129,129,2.15,0,346.78345,242.15587,-0.00894165,0.088516235
130,130,2.1666666666666665,0,347.07785,242.0396,0.29440308,-0.11627197
131,131,2.183333333333333,0,346.5514,242.02919,-0.52645874,-0.010406494
132,132,2.2,0,347.22284,242.09952,0.67144775,0.07032776
133,133,2.216666666666667,0,346.55603,241.9681,-0.6668091,-0.13142395
134,134,2.2333333333333334,0,347.03796,242.09169,0.4819336,0.12359619
135,135,2.25,0,346.60474,241.94687,-0.43322754,-0.14482117
136,136,2.2666666666666666,0,346.82758,242.13458,0.22283936,0.18771362
137,137,2.283333333333333,0,346.83902,241.97456,0.011444092,-0.16001892
138,138,2.3,0,346.56503,241.9893,-0.27398682,0.01473999
139,139,2.316666666666667,0,347.12253,242.02003,0.5574951,0.030731201
140,140,2.3333333333333335,0,346.50073,242.03452,-0.62179565,0.014480591
141,141,2.35,0,347.16162,242.12608,0.6608887,0.09156799
142,142,2.3666666666666667,0,346.60852,241.97847,-0.5531006,-0.14761353
143,143,2.3833333333333333,0,346.8908,242.23338,0.2822876,0.25491333
144,144,2.4,0,346.8852,242.1187,-0.0056152344,-0.11468506
145,145,2.4166666666666665,0,346.67038,242.2181,-0.21481323,0.09939575
146,146,2.433333333333333,0,347.14426,242.11317,0.47387695,-0.10491943
147,147,2.45,0,346.46555,242.20306,-0.67871094,0.08988953
148,148,2.466666666666667,0,347.18127,242.17668,0.71572876,-0.026382446
149,149,2.4833333333333334,0,346.5331,242.13474,-0.64816284,-0.04194641
150,150,2.5,0,346.8704,242.09431,0.33728027,-0.040420532
151,151,2.5166666666666666,0,346.62735,242.08827,-0.24304199,-0.0060424805
152,152,2.533333333333333,0,346.74954,242.12141,0.12219238,0.03314209
153,153,2.55,0,346.8764,242.10724,0.12686157,-0.014175415
154,154,2.566666666666667,0,346.53378,242.1422,-0.34262085,0.034957886
155,155,2.5833333333333335,0,347.14993,242.1268,0.6161499,-0.015396118
156,156,2.6,0,346.53024,242.15285,-0.61968994,0.026046753
157,157,2.6166666666666667,0,346.9875,242.22298,0.45724487,0.070129395
158,158,2.6333333333333333,0,346.63623,242.12021,-0.35125732,-0.102767944
159,159,2.65,0,346.82425,242.28218,0.1880188,0.16197205
160,160,2.6666666666666665,0,346.71414,242.14511,-0.11010742,-0.1370697
